,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
2966,27,2025-03-29,14,Bundesliga,720,Holstein Kiel,12,Bremen,AWAY_TEAM,0,3
2967,28,2025-04-05,16,Bundesliga,12,Bremen,19,Frankfurt,HOME_TEAM,2,0
2968,29,2025-04-13,13,Bundesliga,10,Stuttgart,12,Bremen,AWAY_TEAM,1,2
2969,30,2025-04-19,13,Bundesliga,12,Bremen,36,Bochum,HOME_TEAM,1,0
2970,31,2025-04-27,15,Bundesliga,12,Bremen,20,St. Pauli,DRAW,0,0
2971,32,2025-05-03,13,Bundesliga,28,Union Berlin,12,Bremen,DRAW,2,2
2972,33,2025-05-10,13,Bundesliga,12,Bremen,721,RB Leipzig,DRAW,0,0
2973,34,2025-05-17,13,Bundesliga,44,Heidenheim,12,Bremen,AWAY_TEAM,1,4
2974,1,2024-08-24,13,Bundesliga,15,Mainz,28,Union Berlin,DRAW,1,1
2975,2,2024-08-31,13,Bundesliga,10,Stuttgart,15,Mainz,DRAW,3,3
2976,3,2024-09-15,15,Bundesliga,15,Mainz,12,Bremen,AWAY_TEAM,1,2
2977,4,2024-09-20,18,Bundesliga,16,Augsburg,15,Mainz,AWAY_TEAM,2,3
2978,5,2024-09-28,13,Bundesliga,15,Mainz,44,Heidenheim,AWAY_TEAM,0,2
2979,6,2024-10-05,16,Bundesliga,20,St. Pauli,15,Mainz,AWAY_TEAM,0,3
2980,7,2024-10-19,13,Bundesliga,15,Mainz,721,RB Leipzig,AWAY_TEAM,0,2
2981,8,2024-10-25,18,Bundesliga,15,Mainz,18,M'gladbach,DRAW,1,1
2982,9,2024-11-03,14,Bundesliga,17,Freiburg,15,Mainz,DRAW,0,0
